subjectSlug,difficulty,type,content,answersJson,mediaUrl
vat-ly,easy,single_choice,Dụng cụ dùng để đo cường độ dòng điện là:,"[{""text"":""Ampe kế"",""isCorrect"":true},{""text"":""Vôn kế"",""isCorrect"":false},{""text"":""Nhiệt kế"",""isCorrect"":false},{""text"":""Lực kế"",""isCorrect"":false}]",
vat-ly,easy,multiple_choice,Những vật liệu nào sau đây dẫn điện tốt?,"[{""text"":""Đồng"",""isCorrect"":true},{""text"":""Sắt"",""isCorrect"":true},{""text"":""Nhựa"",""isCorrect"":false},{""text"":""Thủy tinh"",""isCorrect"":false}]",
vat-ly,easy,single_choice,Khi soi gương phẳng, ảnh của ta trong gương là:,"[{""text"":""Ảnh ảo, bằng vật"",""isCorrect"":true},{""text"":""Ảnh thật, bằng vật"",""isCorrect"":false},{""text"":""Ảnh ảo, lớn hơn vật"",""isCorrect"":false},{""text"":""Ảnh thật, nhỏ hơn vật"",""isCorrect"":false}]",
vat-ly,easy,fill_in_blank,Công thức tính vận tốc là v = s / ____,"{""accepted"":[""t"",""thời gian""]}",
vat-ly,easy,single_choice,Một vật đứng yên khi:,"[{""text"":""Vị trí của nó không đổi so với vật làm mốc"",""isCorrect"":true},{""text"":""Vật đó không chuyển động"",""isCorrect"":false},{""text"":""Khoảng cách đến vật mốc là 0"",""isCorrect"":false},{""text"":""Vận tốc của nó rất nhỏ"",""isCorrect"":false}]",
vat-ly,easy,multiple_choice,Những nguồn năng lượng nào là năng lượng tái tạo?,"[{""text"":""Gió"",""isCorrect"":true},{""text"":""Mặt trời"",""isCorrect"":true},{""text"":""Than đá"",""isCorrect"":false},{""text"":""Dầu mỏ"",""isCorrect"":false}]",
vat-ly,easy,single_choice,Đơn vị đo khối lượng trong hệ SI là:,"[{""text"":""Kilôgam (kg)"",""isCorrect"":true},{""text"":""Gam (g)"",""isCorrect"":false},{""text"":""Tấn"",""isCorrect"":false},{""text"":""Lạng"",""isCorrect"":false}]",
vat-ly,easy,fill_in_blank,Nước sôi ở nhiệt độ bao nhiêu độ C (trong điều kiện tiêu chuẩn)?,"{""accepted"":[""100""]}",
vat-ly,easy,single_choice,Lực đẩy Ác-si-mét tác dụng lên vật nhúng trong chất lỏng có chiều:,"[{""text"":""Từ dưới lên trên"",""isCorrect"":true},{""text"":""Từ trên xuống dưới"",""isCorrect"":false},{""text"":""Nằm ngang"",""isCorrect"":false},{""text"":""Theo mọi hướng"",""isCorrect"":false}]",
vat-ly,easy,multiple_choice,Những thiết bị nào hoạt động dựa trên tác dụng nhiệt của dòng điện?,"[{""text"":""Bàn là"",""isCorrect"":true},{""text"":""Nồi cơm điện"",""isCorrect"":true},{""text"":""Quạt điện"",""isCorrect"":false},{""text"":""Chuông điện"",""isCorrect"":false}]",
vat-ly,easy,single_choice,Khi ánh sáng truyền từ không khí vào nước thì góc khúc xạ:,"[{""text"":""Nhỏ hơn góc tới"",""isCorrect"":true},{""text"":""Lớn hơn góc tới"",""isCorrect"":false},{""text"":""Bằng góc tới"",""isCorrect"":false},{""text"":""Bằng 0"",""isCorrect"":false}]",
vat-ly,easy,fill_in_blank,Máy cơ đơn giản giúp ta lợi về lực nhưng thiệt về ____,"{""accepted"":[""đường đi""]}",
vat-ly,easy,single_choice,Sự bay hơi xảy ra ở:,"[{""text"":""Mặt thoáng của chất lỏng"",""isCorrect"":true},{""text"":""Trong lòng chất lỏng"",""isCorrect"":false},{""text"":""Dưới đáy bình"",""isCorrect"":false},{""text"":""Mọi nơi đồng thời"",""isCorrect"":false}]",
vat-ly,easy,multiple_choice,Tính chất của nam châm vĩnh cửu:,"[{""text"":""Có hai cực Bắc và Nam"",""isCorrect"":true},{""text"":""Hút được sắt, thép"",""isCorrect"":true},{""text"":""Đẩy đồng, nhôm"",""isCorrect"":false},{""text"":""Mất từ tính khi không có dòng điện"",""isCorrect"":false}]",
vat-ly,medium,single_choice,Một người đi bộ với vận tốc 5km/h trong 2 giờ. Quãng đường đi được là:,"[{""text"":""10 km"",""isCorrect"":true},{""text"":""2.5 km"",""isCorrect"":false},{""text"":""7 km"",""isCorrect"":false},{""text"":""12 km"",""isCorrect"":false}]",
vat-ly,medium,single_choice,Công thức của định luật Ôm là:,"[{""text"":""I = U / R"",""isCorrect"":true},{""text"":""U = I / R"",""isCorrect"":false},{""text"":""R = U * I"",""isCorrect"":false},{""text"":""I = U * R"",""isCorrect"":false}]",
vat-ly,medium,fill_in_blank,Một vật có khối lượng 2kg thì trọng lượng của nó xấp xỉ bằng bao nhiêu Newton?,"{""accepted"":[""20""]}",
vat-ly,medium,single_choice,Thấu kính hội tụ thường có đặc điểm:,"[{""text"":""Phần rìa mỏng hơn phần giữa"",""isCorrect"":true},{""text"":""Phần rìa dày hơn phần giữa"",""isCorrect"":false},{""text"":""Làm bằng kim loại"",""isCorrect"":false},{""text"":""Luôn cho ảnh ảo"",""isCorrect"":false}]",
vat-ly,medium,multiple_choice,Các đại lượng nào ảnh hưởng đến điện trở của một dây dẫn?,"[{""text"":""Chiều dài dây"",""isCorrect"":true},{""text"":""Tiết diện dây"",""isCorrect"":true},{""text"":""Vật liệu làm dây"",""isCorrect"":true},{""text"":""Hiệu điện thế"",""isCorrect"":false}]",
vat-ly,medium,single_choice,Khi một vật rơi tự do, năng lượng chuyển hóa từ:,"[{""text"":""Thế năng sang động năng"",""isCorrect"":true},{""text"":""Động năng sang thế năng"",""isCorrect"":false},{""text"":""Nhiệt năng sang thế năng"",""isCorrect"":false},{""text"":""Hóa năng sang động năng"",""isCorrect"":false}]",
vat-ly,medium,fill_in_blank,Nhiệt lượng cần cung cấp để 1kg chất tăng thêm 1 độ C gọi là ____ riêng.,"{""accepted"":[""nhiệt dung""]}",
vat-ly,medium,single_choice,Áp suất chất lỏng tại một điểm phụ thuộc vào:,"[{""text"":""Độ sâu của điểm đó"",""isCorrect"":true},{""text"":""Hình dạng bình chứa"",""isCorrect"":false},{""text"":""Thể tích chất lỏng"",""isCorrect"":false},{""text"":""Diện tích mặt thoáng"",""isCorrect"":false}]",
vat-ly,medium,multiple_choice,Những yếu tố nào làm tăng lực từ của nam châm điện?,"[{""text"":""Tăng cường độ dòng điện"",""isCorrect"":true},{""text"":""Tăng số vòng dây"",""isCorrect"":true},{""text"":""Thay lõi sắt bằng lõi đồng"",""isCorrect"":false},{""text"":""Giảm hiệu điện thế"",""isCorrect"":false}]",
vat-ly,medium,single_choice,Mắt cận thị muốn nhìn rõ vật ở xa phải đeo thấu kính:,"[{""text"":""Phân kỳ"",""isCorrect"":true},{""text"":""Hội tụ"",""isCorrect"":false},{""text"":""Gương cầu lồi"",""isCorrect"":false},{""text"":""Gương phẳng"",""isCorrect"":false}]",
vat-ly,medium,fill_in_blank,Kết quả của phép tính: 20 độ C bằng bao nhiêu độ K? ____,"{""accepted"":[""293""]}",
vat-ly,medium,single_choice,Một bóng đèn 220V - 100W. Điện năng tiêu thụ trong 1 giờ là:,"[{""text"":""0.1 kWh"",""isCorrect"":true},{""text"":""100 kWh"",""isCorrect"":false},{""text"":""220 Wh"",""isCorrect"":false},{""text"":""360 J"",""isCorrect"":false}]",
vat-ly,medium,multiple_choice,Những hiện tượng nào là hiện tượng hóa học (có biến đổi chất)?,"[{""text"":""Sắt bị gỉ"",""isCorrect"":true},{""text"":""Đốt cháy củi"",""isCorrect"":true},{""text"":""Băng tan"",""isCorrect"":false},{""text"":""Muối kết tinh"",""isCorrect"":false}]",
vat-ly,medium,single_choice,Tại sao khi phơi quần áo, người ta thường căng rộng ra?,"[{""text"":""Để tăng diện tích mặt thoáng giúp bay hơi nhanh hơn"",""isCorrect"":true},{""text"":""Để gió thổi mạnh hơn"",""isCorrect"":false},{""text"":""Để quần áo đẹp hơn"",""isCorrect"":false},{""text"":""Để giảm nhiệt độ"",""isCorrect"":false}]",
vat-ly,medium,fill_in_blank,Trong sơ đồ mạch điện, kí hiệu chữ 'R' đại diện cho đại lượng ____,"{""accepted"":[""điện trở""]}",
vat-ly,medium,single_choice,Lực ma sát nghỉ xuất hiện khi nào?,"[{""text"":""Vật chịu tác dụng của lực nhưng vẫn đứng yên"",""isCorrect"":true},{""text"":""Vật đang trượt trên bề mặt"",""isCorrect"":false},{""text"":""Vật đang lăn"",""isCorrect"":false},{""text"":""Vật rơi trong không khí"",""isCorrect"":false}]",
vat-ly,medium,multiple_choice,Tác dụng của ròng rọc cố định là:,"[{""text"":""Thay đổi hướng của lực"",""isCorrect"":true},{""text"":""Giúp lợi 2 lần về lực"",""isCorrect"":false},{""text"":""Giúp lợi về đường đi"",""isCorrect"":false},{""text"":""Không cho lợi về lực"",""isCorrect"":true}]",
vat-ly,medium,single_choice,Vận tốc âm thanh truyền nhanh nhất trong môi trường:,"[{""text"":""Chất rắn"",""isCorrect"":true},{""text"":""Chất lỏng"",""isCorrect"":false},{""text"":""Chất khí"",""isCorrect"":false},{""text"":""Môi trường nào cũng như nhau"",""isCorrect"":false}]",
vat-ly,medium,fill_in_blank,Tần số của dòng điện xoay chiều tại Việt Nam là bao nhiêu Hz? ____,"{""accepted"":[""50""]}",
vat-ly,medium,single_choice,Gương cầu lồi thường được dùng làm gương chiếu hậu vì:,"[{""text"":""Cho vùng quan sát rộng hơn"",""isCorrect"":true},{""text"":""Cho ảnh thật"",""isCorrect"":false},{""text"":""Cho ảnh lớn hơn vật"",""isCorrect"":false},{""text"":""Giá thành rẻ"",""isCorrect"":false}]",
vat-ly,medium,multiple_choice,Đặc điểm của đoạn mạch gồm hai điện trở mắc nối tiếp:,"[{""text"":""I = I1 = I2"",""isCorrect"":true},{""text"":""U = U1 + U2"",""isCorrect"":true},{""text"":""Rtd = R1 + R2"",""isCorrect"":true},{""text"":""U1 = U2"",""isCorrect"":false}]",
vat-ly,medium,single_choice,Trong hiện tượng khúc xạ ánh sáng, tia khúc xạ nằm trong:,"[{""text"":""Mặt phẳng tới"",""isCorrect"":true},{""text"":""Mặt phẳng gương"",""isCorrect"":false},{""text"":""Phía bên kia pháp tuyến so với tia tới"",""isCorrect"":true},{""text"":""Cả A và C"",""isCorrect"":true}]",
vat-ly,medium,fill_in_blank,Số ghi trên công tơ điện gia đình cho biết điện năng tiêu thụ theo đơn vị ____,"{""accepted"":[""số"",""kWh""]}",
vat-ly,medium,single_choice,Vật có khối lượng m, vận tốc v thì động năng là:,"[{""text"":""1/2 * m * v^2"",""isCorrect"":true},{""text"":""m * v"",""isCorrect"":false},{""text"":""m * g * h"",""isCorrect"":false},{""text"":""1/2 * m * v"",""isCorrect"":false}]",
vat-ly,medium,multiple_choice,Những yếu tố nào ảnh hưởng đến độ cao của âm?,"[{""text"":""Tần số dao động"",""isCorrect"":true},{""text"":""Biên độ dao động"",""isCorrect"":false},{""text"":""Độ nhanh chậm của dao động"",""isCorrect"":true},{""text"":""Vật liệu phát âm"",""isCorrect"":false}]",
vat-ly,hard,single_choice,Một vật khối lượng 500g rơi từ độ cao 20m xuống đất. Bỏ qua ma sát, động năng ngay trước khi chạm đất là (g=10):,"[{""text"":""100 J"",""isCorrect"":true},{""text"":""1000 J"",""isCorrect"":false},{""text"":""50 J"",""isCorrect"":false},{""text"":""200 J"",""isCorrect"":false}]",
vat-ly,hard,single_choice,Ảnh của một vật qua thấu kính hội tụ là ảnh ảo khi vật nằm trong khoảng:,"[{""text"":""Từ thấu kính đến tiêu điểm"",""isCorrect"":true},{""text"":""Ngoài tiêu cự"",""isCorrect"":false},{""text"":""Tại tiêu điểm"",""isCorrect"":false},{""text"":""Rất xa thấu kính"",""isCorrect"":false}]",
vat-ly,hard,fill_in_blank,Một bếp điện 220V-1000W. Nếu sử dụng ở hiệu điện thế 110V thì công suất của bếp là bao nhiêu W?,"{""accepted"":[""250""]}",
vat-ly,hard,multiple_choice,Trong thí nghiệm giao thoa ánh sáng, khoảng vân sẽ tăng lên khi nào?,"[{""text"":""Tăng khoảng cách từ màn đến hai khe"",""isCorrect"":true},{""text"":""Giảm khoảng cách giữa hai khe"",""isCorrect"":true},{""text"":""Dùng ánh sáng có bước sóng dài hơn"",""isCorrect"":true},{""text"":""Dùng ánh sáng tím thay cho ánh sáng đỏ"",""isCorrect"":false}]",
vat-ly,hard,single_choice,Một mạch điện gồm (R1 nối tiếp R2) song song R3. Nếu R1=R2=R3=10 Ohm, điện trở tương đương là:,"[{""text"":""6.67 Ohm"",""isCorrect"":true},{""text"":""30 Ohm"",""isCorrect"":false},{""text"":""15 Ohm"",""isCorrect"":false},{""text"":""5 Ohm"",""isCorrect"":false}]",
vat-ly,hard,fill_in_blank,Hạt nhân nguyên tử gồm các hạt proton và ____,"{""accepted"":[""neutron"",""nơ-trôn""]}",
vat-ly,hard,single_choice,Hiện tượng quang điện xảy ra khi chiếu ánh sáng thích hợp vào:,"[{""text"":""Bề mặt kim loại"",""isCorrect"":true},{""text"":""Chất khí"",""isCorrect"":false},{""text"":""Chất lỏng"",""isCorrect"":false},{""text"":""Mọi vật thể"",""isCorrect"":false}]",
vat-ly,hard,multiple_choice,Các đại lượng nào bảo toàn trong phản ứng hạt nhân?,"[{""text"":""Điện tích"",""isCorrect"":true},{""text"":""Số nucleon"",""isCorrect"":true},{""text"":""Khối lượng nghỉ"",""isCorrect"":false},{""text"":""Động lượng"",""isCorrect"":true}]",
vat-ly,hard,single_choice,Chu kỳ dao động của con lắc lò xo phụ thuộc vào:,"[{""text"":""Khối lượng vật và độ cứng lò xo"",""isCorrect"":true},{""text"":""Chiều dài lò xo"",""isCorrect"":false},{""text"":""Biên độ dao động"",""isCorrect"":false},{""text"":""Gia tốc trọng trường"",""isCorrect"":false}]",
vat-ly,hard,fill_in_blank,Hiệu suất của động cơ nhiệt luôn ____ 100%.,"{""accepted"":[""nhỏ hơn"",""<""]}",
vat-ly,hard,single_choice,Tại sao các dây điện cao thế thường không có vỏ bọc nhựa?,"[{""text"":""Vì nhựa không chịu nổi nhiệt và khoảng cách an toàn được duy trì bằng không khí"",""isCorrect"":true},{""text"":""Vì nhựa quá nặng"",""isCorrect"":false},{""text"":""Để tiết kiệm chi phí"",""isCorrect"":false},{""text"":""Để dây tỏa nhiệt nhanh hơn"",""isCorrect"":false}]",
vat-ly,hard,multiple_choice,Những tia nào sau đây có bản chất là sóng điện từ?,"[{""text"":""Tia X"",""isCorrect"":true},{""text"":""Tia Gamma"",""isCorrect"":true},{""text"":""Tia hồng ngoại"",""isCorrect"":true},{""text"":""Tia Alpha"",""isCorrect"":false}]",
vat-ly,hard,single_choice,Trong hiện tượng phản xạ toàn phần, góc tới phải:,"[{""text"":""Lớn hơn hoặc bằng góc giới hạn"",""isCorrect"":true},{""text"":""Nhỏ hơn góc giới hạn"",""isCorrect"":false},{""text"":""Bằng 0"",""isCorrect"":false},{""text"":""Bằng 90 độ"",""isCorrect"":false}]",
vat-ly,hard,fill_in_blank,Vận tốc truyền sóng điện từ trong chân không bằng bao nhiêu m/s? (nhập số nguyên xấp xỉ),"{""accepted"":[""300000000""]}",
vat-ly,hard,single_choice,Một vật dao động điều hòa với biên độ 5cm. Quãng đường vật đi được trong một chu kỳ là:,"[{""text"":""20 cm"",""isCorrect"":true},{""text"":""10 cm"",""isCorrect"":false},{""text"":""5 cm"",""isCorrect"":false},{""text"":""0 cm"",""isCorrect"":false}]",
vat-ly,hard,multiple_choice,Đặc điểm của ảnh tạo bởi thấu kính phân kỳ đối với vật thật:,"[{""text"":""Luôn là ảnh ảo"",""isCorrect"":true},{""text"":""Luôn nhỏ hơn vật"",""isCorrect"":true},{""text"":""Cùng chiều với vật"",""isCorrect"":true},{""text"":""Có thể là ảnh thật"",""isCorrect"":false}]",
vat-ly,hard,single_choice,Định luật vạn vật hấp dẫn cho biết lực hấp dẫn tỉ lệ nghịch với:,"[{""text"":""Bình phương khoảng cách"",""isCorrect"":true},{""text"":""Khoảng cách"",""isCorrect"":false},{""text"":""Tích hai khối lượng"",""isCorrect"":false},{""text"":""Tổng hai khối lượng"",""isCorrect"":false}]",
vat-ly,hard,fill_in_blank,Số Avogadro (N_A) có giá trị xấp xỉ là 6.022 * 10 mũ ____.,"{""accepted"":[""23""]}",
vat-ly,hard,single_choice,Để giảm hao phí trên đường dây tải điện đi 100 lần, ta cần:,"[{""text"":""Tăng hiệu điện thế lên 10 lần"",""isCorrect"":true},{""text"":""Giảm hiệu điện thế đi 10 lần"",""isCorrect"":false},{""text"":""Tăng điện trở lên 100 lần"",""isCorrect"":false},{""text"":""Tăng cường độ dòng điện lên 10 lần"",""isCorrect"":false}]",
vat-ly,hard,multiple_choice,Tính chất của tia tử ngoại:,"[{""text"":""Làm đen kính ảnh"",""isCorrect"":true},{""text"":""Gây ra hiện tượng quang điện"",""isCorrect"":true},{""text"":""Có tác dụng diệt khuẩn"",""isCorrect"":true},{""text"":""Mắt người nhìn thấy được"",""isCorrect"":false}]",
vat-ly,hard,single_choice,Năng lượng của một photon ánh sáng được tính theo công thức:,"[{""text"":""E = h * f"",""isCorrect"":true},{""text"":""E = m * c"",""isCorrect"":false},{""text"":""E = 1/2 * m * v^2"",""isCorrect"":false},{""text"":""E = h / f"",""isCorrect"":false}]",
vat-ly,hard,fill_in_blank,Độ hụt khối của hạt nhân là hiệu số giữa tổng khối lượng các nucleon và khối lượng ____.,"{""accepted"":[""hạt nhân""]}",
vat-ly,hard,single_choice,Một thấu kính có độ tụ D = 5dp. Tiêu cự của thấu kính là:,"[{""text"":""20 cm"",""isCorrect"":true},{""text"":""5 cm"",""isCorrect"":false},{""text"":""50 cm"",""isCorrect"":false},{""text"":""2 m"",""isCorrect"":false}]",
vat-ly,hard,multiple_choice,Các đại lượng nào thay đổi khi sóng cơ truyền từ không khí vào nước?,"[{""text"":""Vận tốc"",""isCorrect"":true},{""text"":""Bước sóng"",""isCorrect"":true},{""text"":""Tần số"",""isCorrect"":false},{""text"":""Chu kỳ"",""isCorrect"":false}]",
vat-ly,hard,single_choice,Gia tốc trọng trường g trên mặt trăng bằng khoảng 1/6 trái đất. Một vật có khối lượng 60kg trên trái đất thì trên mặt trăng có khối lượng là:,"[{""text"":""60 kg"",""isCorrect"":true},{""text"":""10 kg"",""isCorrect"":false},{""text"":""360 kg"",""isCorrect"":false},{""text"":""0 kg"",""isCorrect"":false}]",
vat-ly,hard,fill_in_blank,Hiện tượng các nguyên tử tự phát ra các tia bức xạ gọi là hiện tượng ____.,"{""accepted"":[""phóng xạ""]}",
vat-ly,hard,single_choice,Một vật khối lượng 1kg chuyển động tròn đều với bán kính 1m, vận tốc 1m/s. Lực hướng tâm là:,"[{""text"":""1 N"",""isCorrect"":true},{""text"":""0.5 N"",""isCorrect"":false},{""text"":""2 N"",""isCorrect"":false},{""text"":""0 N"",""isCorrect"":false}]",
vat-ly,hard,multiple_choice,Những thiết bị nào sử dụng sóng vô tuyến?,"[{""text"":""Điện thoại di động"",""isCorrect"":true},{""text"":""Đài phát thanh"",""isCorrect"":true},{""text"":""Điều khiển từ xa hồng ngoại"",""isCorrect"":false},{""text"":""Lò vi sóng"",""isCorrect"":true}]",
vat-ly,hard,single_choice,Hệ số ma sát giữa hai bề mặt phụ thuộc vào:,"[{""text"":""Bản chất và tình trạng bề mặt tiếp xúc"",""isCorrect"":true},{""text"":""Diện tích tiếp xúc"",""isCorrect"":false},{""text"":""Áp lực lên bề mặt"",""isCorrect"":false},{""text"":""Vận tốc của vật"",""isCorrect"":false}]",
vat-ly,hard,fill_in_blank,Thành phần chính của pin quang điện là chất ____.,"{""accepted"":[""bán dẫn""]}",
