subjectSlug,difficulty,type,content,answersJson,mediaUrl
hoa-hoc,medium,single_choice,"Phản ứng nào sau đây là phản ứng oxi hóa-khử?","[{""text"":""2H₂ + O₂ → 2H₂O"",""isCorrect"":true},{""text"":""NaCl + AgNO₃ → AgCl + NaNO₃"",""isCorrect"":false},{""text"":""HCl + NaOH → NaCl + H₂O"",""isCorrect"":false},{""text"":""CaCO₃ → CaO + CO₂"",""isCorrect"":false}]",
hoa-hoc,medium,single_choice,"Số Avogadro có giá trị xấp xỉ:","[{""text"":""6.02 × 10²³"",""isCorrect"":true},{""text"":""3.14 × 10²³"",""isCorrect"":false},{""text"":""9.81 × 10²³"",""isCorrect"":false},{""text"":""1.38 × 10²³"",""isCorrect"":false}]",
hoa-hoc,medium,fill_in_blank,"Công thức hóa học của axit sulfuric là: _____","{""accepted"":[""H2SO4"",""H₂SO₄""]}",
hoa-hoc,medium,true_false,"pH = 7 là dung dịch trung tính","[{""value"":true,""isCorrect"":true},{""value"":false,""isCorrect"":false}]",
hoa-hoc,medium,matching,"Nối các axit với công thức:","{""pairs"":[{""left"":""Axit clohidric"",""right"":""HCl""},{""left"":""Axit nitric"",""right"":""HNO₃""},{""left"":""Axit axetic"",""right"":""CH₃COOH""}]}",
hoa-hoc,medium,multiple_choice,"Các chất nào sau đây là oxit? (chọn nhiều đáp án)","[{""text"":""CO₂"",""isCorrect"":true},{""text"":""H₂SO₄"",""isCorrect"":false},{""text"":""CaO"",""isCorrect"":true},{""text"":""NaCl"",""isCorrect"":false}]",
hoa-hoc,medium,single_choice,"Nguyên tố có ký hiệu Na là:","[{""text"":""Natri"",""isCorrect"":true},{""text"":""Neon"",""isCorrect"":false},{""text"":""Niken"",""isCorrect"":false},{""text"":""Nitơ"",""isCorrect"":false}]",
hoa-hoc,medium,true_false,"Kim loại kiềm phản ứng mạnh với nước","[{""value"":true,""isCorrect"":true},{""value"":false,""isCorrect"":false}]",
hoa-hoc,medium,fill_in_blank,"Khối lượng mol của nước (H₂O) là _____ g/mol","{""accepted"":[""18"",""18.0"",""18.00""]}",
hoa-hoc,medium,single_choice,"Chất nào sau đây là bazơ?","[{""text"":""NaOH"",""isCorrect"":true},{""text"":""HCl"",""isCorrect"":false},{""text"":""H₂SO₄"",""isCorrect"":false},{""text"":""CO₂"",""isCorrect"":false}]",
hoa-hoc,medium,matching,"Nối các muối với thành phần:","{""pairs"":[{""left"":""Natri clorua"",""right"":""NaCl""},{""left"":""Canxi cacbonat"",""right"":""CaCO₃""},{""left"":""Kali nitrat"",""right"":""KNO₃""}]}",
hoa-hoc,medium,multiple_choice,"Các kim loại nào sau đây là kim loại kiềm? (chọn nhiều đáp án)","[{""text"":""Natri"",""isCorrect"":true},{""text"":""Canxi"",""isCorrect"":false},{""text"":""Kali"",""isCorrect"":true},{""text"":""Magie"",""isCorrect"":false}]",
hoa-hoc,medium,true_false,"Quá trình hòa tan muối vào nước là phản ứng hóa học","[{""value"":true,""isCorrect"":false},{""value"":false,""isCorrect"":true}]",
hoa-hoc,medium,fill_in_blank,"Hóa trị của nhôm trong hợp chất là: _____","{""accepted"":[""3"",""III"",""ba""]}",
hoa-hoc,medium,single_choice,"Chất nào sau đây có tính axit mạnh nhất?","[{""text"":""HClO₄"",""isCorrect"":true},{""text"":""CH₃COOH"",""isCorrect"":false},{""text"":""H₂CO₃"",""isCorrect"":false},{""text"":""H₃PO₄"",""isCorrect"":false}]",
hoa-hoc,hard,single_choice,"Cấu hình electron của nguyên tử Oxygen (Z=8) là:","[{""text"":""1s² 2s² 2p⁴"",""isCorrect"":true},{""text"":""1s² 2s² 2p⁶"",""isCorrect"":false},{""text"":""1s² 2s² 2p³"",""isCorrect"":false},{""text"":""1s² 2s² 2p⁵"",""isCorrect"":false}]",
hoa-hoc,hard,single_choice,"Trong bảng tuần hoàn, nguyên tố thuộc chu kỳ nào có nhiều electron nhất ở lớp ngoài cùng?","[{""text"":""Chu kỳ 2"",""isCorrect"":false},{""text"":""Chu kỳ 3"",""isCorrect"":false},{""text"":""Tất cả đều bằng nhau"",""isCorrect"":true},{""text"":""Chu kỳ 4"",""isCorrect"":false}]",
hoa-hoc,hard,fill_in_blank,"Trong phản ứng 2Al + 3CuSO₄ → Al₂(SO₄)₃ + 3Cu, số electron mà mỗi nguyên tử Al nhường đi là: _____","{""accepted"":[""3"",""ba""]}",
hoa-hoc,hard,true_false,"Liên kết cộng hóa trị phân cực xảy ra giữa hai nguyên tử có độ âm điện khác nhau","[{""value"":true,""isCorrect"":true},{""value"":false,""isCorrect"":false}]",
hoa-hoc,hard,matching,"Nối các phản ứng với loại phản ứng:","{""pairs"":[{""left"":""Zn + 2HCl → ZnCl₂ + H₂"",""right"":""Oxi hóa-khử""},{""left"":""CaCO₃ → CaO + CO₂"",""right"":""Nhiệt phân""},{""left"":""HCl + NaOH → NaCl + H₂O"",""right"":""Trung hòa""}]}",
hoa-hoc,hard,multiple_choice,"Các yếu tố nào ảnh hưởng đến tốc độ phản ứng? (chọn nhiều đáp án)","[{""text"":""Nhiệt độ"",""isCorrect"":true},{""text"":""Nồng độ"",""isCorrect"":true},{""text"":""Áp suất khí quyển"",""isCorrect"":false},{""text"":""Chất xúc tác"",""isCorrect"":true}]",
hoa-hoc,hard,single_choice,"Nguyên tử khối trung bình của Clo (biết ³⁵Cl chiếm 75%, ³⁷Cl chiếm 25%) là:","[{""text"":""35.5"",""isCorrect"":true},{""text"":""36"",""isCorrect"":false},{""text"":""35"",""isCorrect"":false},{""text"":""37"",""isCorrect"":false}]",
hoa-hoc,hard,true_false,"Phản ứng thuận nghịch là phản ứng xảy ra đồng thời theo hai chiều ngược nhau","[{""value"":true,""isCorrect"":true},{""value"":false,""isCorrect"":false}]",
hoa-hoc,hard,fill_in_blank,"Trong phân tử NH₃, góc liên kết H-N-H xấp xỉ _____ độ","{""accepted"":[""107"",""107.3"",""107.5""]}",
hoa-hoc,hard,single_choice,"Chất nào sau đây có nhiệt độ sôi cao nhất?","[{""text"":""H₂O"",""isCorrect"":true},{""text"":""H₂S"",""isCorrect"":false},{""text"":""H₂Se"",""isCorrect"":false},{""text"":""H₂Te"",""isCorrect"":false}]",
hoa-hoc,easy,single_choice,"Khí nào chiếm tỷ lệ lớn nhất trong không khí?","[{""text"":""Nitrogen"",""isCorrect"":true},{""text"":""Oxygen"",""isCorrect"":false},{""text"":""Carbon dioxide"",""isCorrect"":false},{""text"":""Argon"",""isCorrect"":false}]",
hoa-hoc,easy,true_false,"Sắt có thể bị gỉ trong không khí ẩm","[{""value"":true,""isCorrect"":true},{""value"":false,""isCorrect"":false}]",
hoa-hoc,easy,fill_in_blank,"Công thức hóa học của đường glucose là: _____","{""accepted"":[""C6H12O6"",""C₆H₁₂O₆""]}",
hoa-hoc,easy,matching,"Nối các chất với nhóm hợp chất:","{""pairs"":[{""left"":""NaCl"",""right"":""Muối""},{""left"":""HCl"",""right"":""Axit""},{""left"":""NaOH"",""right"":""Bazơ""}]}",
hoa-hoc,easy,single_choice,"Kim loại nào nhẹ nhất?","[{""text"":""Liti"",""isCorrect"":true},{""text"":""Nhôm"",""isCorrect"":false},{""text"":""Magie"",""isCorrect"":false},{""text"":""Natri"",""isCorrect"":false}]",
hoa-hoc,easy,multiple_choice,"Các chất nào sau đây tan được trong nước? (chọn nhiều đáp án)","[{""text"":""Muối ăn"",""isCorrect"":true},{""text"":""Đường"",""isCorrect"":true},{""text"":""Dầu ăn"",""isCorrect"":false},{""text"":""Cát"",""isCorrect"":false}]",
hoa-hoc,medium,single_choice,"Phương pháp nào được dùng để tách muối ra khỏi nước biển?","[{""text"":""Cô cạn"",""isCorrect"":true},{""text"":""Lọc"",""isCorrect"":false},{""text"":""Chiết"",""isCorrect"":false},{""text"":""Kết tinh"",""isCorrect"":false}]",
hoa-hoc,medium,true_false,"Phản ứng toả nhiệt là phản ứng hấp thụ năng lượng từ môi trường","[{""value"":true,""isCorrect"":false},{""value"":false,""isCorrect"":true}]",
hoa-hoc,medium,fill_in_blank,"Khối lượng mol của NaCl là _____ g/mol","{""accepted"":[""58.5"",""58.44"",""58""]}",
hoa-hoc,hard,single_choice,"Theo nguyên lý Le Chatelier, tăng nhiệt độ sẽ làm cân bằng chuyển dịch theo chiều nào?","[{""text"":""Chiều thu nhiệt"",""isCorrect"":true},{""text"":""Chiều tỏa nhiệt"",""isCorrect"":false},{""text"":""Không chuyển dịch"",""isCorrect"":false},{""text"":""Tùy thuộc vào phản ứng"",""isCorrect"":false}]",
hoa-hoc,medium,matching,"Nối các chất với ứng dụng:","{""pairs"":[{""left"":""NaOH"",""right"":""Sản xuất xà phòng""},{""left"":""H₂SO₄"",""right"":""Sản xuất phân bón""},{""left"":""NH₃"",""right"":""Sản xuất đạm urê""}]}",
hoa-hoc,easy,true_false,"Photosynthesis là quá trình chuyển hóa CO₂ và H₂O thành glucose","[{""value"":true,""isCorrect"":true},{""value"":false,""isCorrect"":false}]",
hoa-hoc,medium,multiple_choice,"Các phương pháp nào sau đây có thể làm tăng tốc độ phản ứng? (chọn nhiều đáp án)","[{""text"":""Tăng nhiệt độ"",""isCorrect"":true},{""text"":""Thêm chất xúc tác"",""isCorrect"":true},{""text"":""Giảm nồng độ"",""isCorrect"":false},{""text"":""Tăng diện tích tiếp xúc"",""isCorrect"":true}]",
hoa-hoc,hard,fill_in_blank,"pH của dung dịch HCl 0.01M là: _____","{""accepted"":[""2"",""2.0"",""2.00""]}",
hoa-hoc,easy,single_choice,"Màu của phenolphthalein trong môi trường bazơ là:","[{""text"":""Hồng"",""isCorrect"":true},{""text"":""Xanh"",""isCorrect"":false},{""text"":""Không màu"",""isCorrect"":false},{""text"":""Vàng"",""isCorrect"":false}]",
hoa-hoc,medium,single_choice,"Chất nào sau đây có tính oxi hóa mạnh nhất?","[{""text"":""F₂"",""isCorrect"":true},{""text"":""Cl₂"",""isCorrect"":false},{""text"":""Br₂"",""isCorrect"":false},{""text"":""I₂"",""isCorrect"":false}]",
hoa-hoc,hard,true_false,"Trong phân tử CO₂, carbon có số oxi hóa là +4","[{""value"":true,""isCorrect"":true},{""value"":false,""isCorrect"":false}]",
hoa-hoc,medium,fill_in_blank,"Công thức hóa học của axit photphoric là: _____","{""accepted"":[""H3PO4"",""H₃PO₄""]}",
hoa-hoc,easy,matching,"Nối các nguyên tố với nhóm trong bảng tuần hoàn:","{""pairs"":[{""left"":""Natri"",""right"":""Kim loại kiềm""},{""left"":""Clo"",""right"":""Halogen""},{""left"":""Neon"",""right"":""Khí trơ""}]}",
hoa-hoc,hard,single_choice,"Trong phản ứng N₂ + 3H₂ ⇌ 2NH₃, tăng áp suất sẽ:","[{""text"":""Cân bằng chuyển dịch sang phải"",""isCorrect"":true},{""text"":""Cân bằng chuyển dịch sang trái"",""isCorrect"":false},{""text"":""Không ảnh hưởng"",""isCorrect"":false},{""text"":""Phản ứng dừng lại"",""isCorrect"":false}]",
hoa-hoc,medium,multiple_choice,"Các chất nào sau đây là hợp chất hữu cơ? (chọn nhiều đáp án)","[{""text"":""CH₄"",""isCorrect"":true},{""text"":""C₂H₅OH"",""isCorrect"":true},{""text"":""CO₂"",""isCorrect"":false},{""text"":""H₂O"",""isCorrect"":false}]",
hoa-hoc,easy,true_false,"Kim cương và than chì đều được tạo từ carbon","[{""value"":true,""isCorrect"":true},{""value"":false,""isCorrect"":false}]",
hoa-hoc,hard,fill_in_blank,"Số oxi hóa của Mn trong KMnO₄ là: _____","{""accepted"":[""7"",""+7"",""VII""]}",
hoa-hoc,medium,single_choice,"Chất nào sau đây có tính lưỡng tính?","[{""text"":""Al(OH)₃"",""isCorrect"":true},{""text"":""NaOH"",""isCorrect"":false},{""text"":""HCl"",""isCorrect"":false},{""text"":""CaO"",""isCorrect"":false}]",
hoa-hoc,easy,single_choice,"Khí nào làm vẩn đục nước vôi trong?","[{""text"":""CO₂"",""isCorrect"":true},{""text"":""O₂"",""isCorrect"":false},{""text"":""N₂"",""isCorrect"":false},{""text"":""H₂"",""isCorrect"":false}]",
hoa-hoc,hard,matching,"Nối các phương pháp điều chế với kim loại:","{""pairs"":[{""left"":""Điện phân nóng chảy"",""right"":""Na""},{""left"":""Dùng CO khử"",""right"":""Fe""},{""left"":""Nhiệt luyện"",""right"":""Hg""}]}",
hoa-hoc,medium,true_false,"Axit nitric đặc là chất oxi hóa mạnh","[{""value"":true,""isCorrect"":true},{""value"":false,""isCorrect"":false}]",
hoa-hoc,easy,fill_in_blank,"Hóa trị của oxygen trong hầu hết các hợp chất là: _____","{""accepted"":[""2"",""II"",""hai""]}",
hoa-hoc,medium,multiple_choice,"Các phản ứng nào sau đây là phản ứng thế? (chọn nhiều đáp án)","[{""text"":""Zn + H₂SO₄ → ZnSO₄ + H₂"",""isCorrect"":true},{""text"":""Fe + CuSO₄ → FeSO₄ + Cu"",""isCorrect"":true},{""text"":""2H₂ + O₂ → 2H₂O"",""isCorrect"":false},{""text"":""CaCO₃ → CaO + CO₂"",""isCorrect"":false}]",
hoa-hoc,hard,single_choice,"Năng lượng ion hóa thứ nhất là:","[{""text"":""Năng lượng cần để tách electron thứ nhất ra khỏi nguyên tử"",""isCorrect"":true},{""text"":""Năng lượng cần để tách electron thứ hai"",""isCorrect"":false},{""text"":""Năng lượng liên kết"",""isCorrect"":false},{""text"":""Năng lượng mạng tinh thể"",""isCorrect"":false}]",
hoa-hoc,easy,single_choice,"Dung dịch nào sau đây có tính bazơ?","[{""text"":""Nước xà phòng"",""isCorrect"":true},{""text"":""Nước chanh"",""isCorrect"":false},{""text"":""Giấm"",""isCorrect"":false},{""text"":""Nước ngọt có ga"",""isCorrect"":false}]",
hoa-hoc,medium,fill_in_blank,"Công thức hóa học của canxi cacbonat là: _____","{""accepted"":[""CaCO3"",""CaCO₃""]}",
hoa-hoc,hard,true_false,"Liên kết ion được hình thành giữa kim loại và phi kim","[{""value"":true,""isCorrect"":true},{""value"":false,""isCorrect"":false}]",
hoa-hoc,easy,matching,"Nối các công cụ với mục đích sử dụng:","{""pairs"":[{""left"":""Ống nghiệm"",""right"":""Chứa hóa chất""},{""left"":""Đèn cồn"",""right"":""Đun nóng""},{""left"":""Giấy quỳ tím"",""right"":""Nhận biết axit/bazơ""}]}",
hoa-hoc,medium,single_choice,"Phân tử nào sau đây có liên kết ba?","[{""text"":""N₂"",""isCorrect"":true},{""text"":""O₂"",""isCorrect"":false},{""text"":""Cl₂"",""isCorrect"":false},{""text"":""H₂"",""isCorrect"":false}]",
hoa-hoc,easy,multiple_choice,"Các chất nào sau đây dẫn điện? (chọn nhiều đáp án)","[{""text"":""Dung dịch NaCl"",""isCorrect"":true},{""text"":""Đồng kim loại"",""isCorrect"":true},{""text"":""Nước cất"",""isCorrect"":false},{""text"":""Đường"",""isCorrect"":false}]",
hoa-hoc,hard,fill_in_blank,"Trong 1 mol chất có _____ phân tử (ghi số theo ký hiệu khoa học)","{""accepted"":[""6.02x10^23"",""6.02*10^23"",""6.02e23""]}",
hoa-hoc,medium,true_false,"Phản ứng giữa kim loại và axit luôn tạo ra khí hydrogen","[{""value"":true,""isCorrect"":false},{""value"":false,""isCorrect"":true}]",
hoa-hoc,easy,single_choice,"Chất nào sau đây được dùng làm chất tẩy rửa?","[{""text"":""NaOH"",""isCorrect"":true},{""text"":""NaCl"",""isCorrect"":false},{""text"":""CaCO₃"",""isCorrect"":false},{""text"":""KNO₃"",""isCorrect"":false}]",
hoa-hoc,hard,matching,"Nối các dạng lai hóa với hình dạng phân tử:","{""pairs"":[{""left"":""sp³"",""right"":""Tứ diện""},{""left"":""sp²"",""right"":""Tam giác phẳng""},{""left"":""sp"",""right"":""Thẳng hàng""}]}",
